,p.val,fc,log2fc,auc.mat,log10p,species,significant
Omnitrophica.WOR_2.bacterium..r_05690.,NA,0,0,0.5,NA,Omnitrophica.WOR_2.bacterium..r_05690.,NA
Omnitrophica.bacterium.OLB16..r_08710.,NA,0,0,0.5,NA,Omnitrophica.bacterium.OLB16..r_08710.,NA
Omnitrophica.bacterium.RBG_13_46_9..r_09751.,NA,0,0,0.5,NA,Omnitrophica.bacterium.RBG_13_46_9..r_09751.,NA
Omnitrophica.bacterium.RIFCSPHIGHO2_02_FULL_51_18..r_09752.,NA,0,0,0.5,NA,Omnitrophica.bacterium.RIFCSPHIGHO2_02_FULL_51_18..r_09752.,NA
Omnitrophica.bacterium.RIFCSPLOWO2_01_FULL_45_10..r_09753.,NA,0,0,0.5,NA,Omnitrophica.bacterium.RIFCSPLOWO2_01_FULL_45_10..r_09753.,NA
Omnitrophica.bacterium.RIFCSPLOWO2_12_FULL_50_11..r_09755.,NA,0,0,0.5,NA,Omnitrophica.bacterium.RIFCSPLOWO2_12_FULL_50_11..r_09755.,NA
Omnitrophica.bacterium..r_05681.,NA,0,0,0.5,NA,Omnitrophica.bacterium..r_05681.,NA
Omnitrophica.bacterium..r_05682.,NA,0,0,0.5,NA,Omnitrophica.bacterium..r_05682.,NA
Omnitrophica.bacterium..r_05683.,NA,0,0,0.5,NA,Omnitrophica.bacterium..r_05683.,NA
Opitutaceae.bacterium.TSB47..r_07285.,NA,0,0,0.5,NA,Opitutaceae.bacterium.TSB47..r_07285.,NA
Opitutaceae.bacterium..r_06137.,NA,0,0,0.5,NA,Opitutaceae.bacterium..r_06137.,NA
Opitutae.species...m_12830.,NA,0,0,0.5,NA,Opitutae.species...m_12830.,NA
Opitutae.species...m_13346.,NA,0,0,0.5,NA,Opitutae.species...m_13346.,NA
Opitutae.species...m_13727.,NA,0,0,0.5,NA,Opitutae.species...m_13727.,NA
Opitutae.species...m_13820.,NA,0,0,0.5,NA,Opitutae.species...m_13820.,NA
Opitutae.species...m_14050.,NA,0,0,0.5,NA,Opitutae.species...m_14050.,NA
Opitutae.species...m_14431.,NA,0,0,0.5,NA,Opitutae.species...m_14431.,NA
Opitutus.sp..GAS368..r_10284.,NA,0,0,0.5,NA,Opitutus.sp..GAS368..r_10284.,NA
Opitutus.terrae..r_11241.,NA,0,0,0.5,NA,Opitutus.terrae..r_11241.,NA
Orenia.marismortui..r_12099.,NA,0,0,0.5,NA,Orenia.marismortui..r_12099.,NA
Orenia.metallireducens..r_08218.,NA,0,0,0.5,NA,Orenia.metallireducens..r_08218.,NA
Oribacterium.sp..P6A1..r_02818.,NA,0,0,0.5,NA,Oribacterium.sp..P6A1..r_02818.,NA
Oribacterium.sp..WCC10..r_10194.,NA,0,0,0.5,NA,Oribacterium.sp..WCC10..r_10194.,NA
Oribacterium.sp...r_02817.,NA,0,0,0.5,NA,Oribacterium.sp...r_02817.,NA
Oribacterium.sp...r_04294.,NA,0,0,0.5,NA,Oribacterium.sp...r_04294.,NA
Orientia.chuto..r_08049.,NA,0,0,0.5,NA,Orientia.chuto..r_08049.,NA
Orientia.tsutsugamushi..r_04159.,NA,0,0,0.5,NA,Orientia.tsutsugamushi..r_04159.,NA
Ornatilinea.apprima..r_07168.,NA,0,0,0.5,NA,Ornatilinea.apprima..r_07168.,NA
Ornithinibacillus.californiensis..r_08690.,NA,0,0,0.5,NA,Ornithinibacillus.californiensis..r_08690.,NA
Ornithinibacillus.contaminans..r_11801.,NA,0,0,0.5,NA,Ornithinibacillus.contaminans..r_11801.,NA
Ornithinibacillus.halophilus..r_12121.,NA,0,0,0.5,NA,Ornithinibacillus.halophilus..r_12121.,NA
Ornithinibacillus.scapharcae..r_12198.,NA,0,0,0.5,NA,Ornithinibacillus.scapharcae..r_12198.,NA
Ornithinimicrobium.pekingense..r_06989.,NA,0,0,0.5,NA,Ornithinimicrobium.pekingense..r_06989.,NA
Ornithinimicrobium.sp..CNJ.824..r_10433.,NA,0,0,0.5,NA,Ornithinimicrobium.sp..CNJ.824..r_10433.,NA
Ornithobacterium.rhinotracheale..r_04272.,NA,0,0,0.5,NA,Ornithobacterium.rhinotracheale..r_04272.,NA
Orrella.dioscoreae..r_00561.,NA,0,0,0.5,NA,Orrella.dioscoreae..r_00561.,NA
Oryzisolibacter.propanilivorax..r_08519.,NA,0,0,0.5,NA,Oryzisolibacter.propanilivorax..r_08519.,NA
Oscillatoria.acuminata..r_11489.,NA,0,0,0.5,NA,Oscillatoria.acuminata..r_11489.,NA
Oscillatoria.nigro.viridis..r_05459.,NA,0,0,0.5,NA,Oscillatoria.nigro.viridis..r_05459.,NA
Oscillatoria.sp..PCC.10802..r_07254.,NA,0,0,0.5,NA,Oscillatoria.sp..PCC.10802..r_07254.,NA
Oscillatoriales.cyanobacterium.CG2_30_40_61..r_03569.,NA,0,0,0.5,NA,Oscillatoriales.cyanobacterium.CG2_30_40_61..r_03569.,NA
Oscillatoriales.cyanobacterium.CG2_30_44_21..r_09955.,NA,0,0,0.5,NA,Oscillatoriales.cyanobacterium.CG2_30_44_21..r_09955.,NA
Oscillatoriales.cyanobacterium.JSC.12..r_11984.,NA,0,0,0.5,NA,Oscillatoriales.cyanobacterium.JSC.12..r_11984.,NA
Oscillatoriales.cyanobacterium.MTP1..r_09299.,NA,0,0,0.5,NA,Oscillatoriales.cyanobacterium.MTP1..r_09299.,NA
Oscillibacter.sp..1.3..r_07502.,NA,0,0,0.5,NA,Oscillibacter.sp..1.3..r_07502.,NA
Oscillibacter.sp..CAG.241..r_03638.,NA,0,0,0.5,NA,Oscillibacter.sp..CAG.241..r_03638.,NA
Oscillibacter.sp..CAG.241_62_21..r_03639.,NA,0,0,0.5,NA,Oscillibacter.sp..CAG.241_62_21..r_03639.,NA
Oscillibacter.valericigenes..r_11796.,NA,0,0,0.5,NA,Oscillibacter.valericigenes..r_11796.,NA
Oscillochloris.trichoides..r_11915.,NA,0,0,0.5,NA,Oscillochloris.trichoides..r_11915.,NA
Oscillospiraceae.bacterium.Zagget12..r_10533.,NA,0,0,0.5,NA,Oscillospiraceae.bacterium.Zagget12..r_10533.,NA
Oscillospiraceae.bacterium.Zagget4..r_10531.,NA,0,0,0.5,NA,Oscillospiraceae.bacterium.Zagget4..r_10531.,NA
Osedax.symbiont.Rs1..r_07955.,NA,0,0,0.5,NA,Osedax.symbiont.Rs1..r_07955.,NA
Ostreococcus.sp..RCC809..m_12418.,NA,0,0,0.5,NA,Ostreococcus.sp..RCC809..m_12418.,NA
Ostreococcus.sp..RCC809..m_12469.,NA,0,0,0.5,NA,Ostreococcus.sp..RCC809..m_12469.,NA
Ottowia.sp..oral.taxon.894..r_08897.,NA,0,0,0.5,NA,Ottowia.sp..oral.taxon.894..r_08897.,NA
Ottowia.thiooxydans..r_06990.,NA,0,0,0.5,NA,Ottowia.thiooxydans..r_06990.,NA
Owenweeksia.hongkongensis..r_12100.,NA,0,0,0.5,NA,Owenweeksia.hongkongensis..r_12100.,NA
Oxalobacteraceae.bacterium.AB_14..r_00530.,NA,0,0,0.5,NA,Oxalobacteraceae.bacterium.AB_14..r_00530.,NA
Oxalobacteraceae.sp...r_00529.,NA,0,0,0.5,NA,Oxalobacteraceae.sp...r_00529.,NA
Oxobacter.pfennigii..r_11025.,NA,0,0,0.5,NA,Oxobacter.pfennigii..r_11025.,NA
PVC.group.bacterium..ex.Bugula.neritina.AB1...r_10227.,NA,0,0,0.5,NA,PVC.group.bacterium..ex.Bugula.neritina.AB1...r_10227.,NA
Pacificibacter.marinus..r_11710.,NA,0,0,0.5,NA,Pacificibacter.marinus..r_11710.,NA
Pacificimonas.flava..r_07496.,NA,0,0,0.5,NA,Pacificimonas.flava..r_07496.,NA
Paenalcaligenes.hominis..r_11669.,NA,0,0,0.5,NA,Paenalcaligenes.hominis..r_11669.,NA
Paenarthrobacter.aurescens..r_02014.,NA,0,0,0.5,NA,Paenarthrobacter.aurescens..r_02014.,NA
Paenarthrobacter.nicotinovorans..r_02010.,NA,0,0,0.5,NA,Paenarthrobacter.nicotinovorans..r_02010.,NA
Paenarthrobacter.nicotinovorans..r_02011.,NA,0,0,0.5,NA,Paenarthrobacter.nicotinovorans..r_02011.,NA
Paenibacillaceae.bacterium.GAS479..r_10291.,NA,0,0,0.5,NA,Paenibacillaceae.bacterium.GAS479..r_10291.,NA
Paenibacillus.alginolyticus..r_02341.,NA,0,0,0.5,NA,Paenibacillus.alginolyticus..r_02341.,NA
Paenibacillus.algorifonticola..r_05297.,NA,0,0,0.5,NA,Paenibacillus.algorifonticola..r_05297.,NA
Paenibacillus.alvei..r_02027.,NA,0,0,0.5,NA,Paenibacillus.alvei..r_02027.,NA
Paenibacillus.alvei..r_02028.,NA,0,0,0.5,NA,Paenibacillus.alvei..r_02028.,NA
Paenibacillus.amylolyticus.xylanexedens..r_03357.,NA,0,0,0.5,NA,Paenibacillus.amylolyticus.xylanexedens..r_03357.,NA
Paenibacillus.antarcticus.macquariensis..r_04532.,NA,0,0,0.5,NA,Paenibacillus.antarcticus.macquariensis..r_04532.,NA
Paenibacillus.antibioticophila..r_07777.,NA,0,0,0.5,NA,Paenibacillus.antibioticophila..r_07777.,NA
Paenibacillus.aquistagni..r_10174.,NA,0,0,0.5,NA,Paenibacillus.aquistagni..r_10174.,NA
Paenibacillus.assamensis..r_06991.,NA,0,0,0.5,NA,Paenibacillus.assamensis..r_06991.,NA
Paenibacillus.barengoltzii..r_03468.,NA,0,0,0.5,NA,Paenibacillus.barengoltzii..r_03468.,NA
Paenibacillus.beijingensis..r_07144.,NA,0,0,0.5,NA,Paenibacillus.beijingensis..r_07144.,NA
Paenibacillus.borealis..r_03363.,NA,0,0,0.5,NA,Paenibacillus.borealis..r_03363.,NA
Paenibacillus.borealis..r_04695.,NA,0,0,0.5,NA,Paenibacillus.borealis..r_04695.,NA
Paenibacillus.bouchesdurhonensis..r_10236.,NA,0,0,0.5,NA,Paenibacillus.bouchesdurhonensis..r_10236.,NA
Paenibacillus.camerounensis..r_02895.,NA,0,0,0.5,NA,Paenibacillus.camerounensis..r_02895.,NA
Paenibacillus.catalpae..r_01330.,NA,0,0,0.5,NA,Paenibacillus.catalpae..r_01330.,NA
Paenibacillus.chitinolyticus..r_01684.,NA,0,0,0.5,NA,Paenibacillus.chitinolyticus..r_01684.,NA
Paenibacillus.chondroitinus..r_02342.,NA,0,0,0.5,NA,Paenibacillus.chondroitinus..r_02342.,NA
Paenibacillus.crassostreae..r_05425.,NA,0,0,0.5,NA,Paenibacillus.crassostreae..r_05425.,NA
Paenibacillus.curdlanolyticus..r_11847.,NA,0,0,0.5,NA,Paenibacillus.curdlanolyticus..r_11847.,NA
Paenibacillus.daejeonensis..r_06992.,NA,0,0,0.5,NA,Paenibacillus.daejeonensis..r_06992.,NA
Paenibacillus.darwinianus..r_04218.,NA,0,0,0.5,NA,Paenibacillus.darwinianus..r_04218.,NA
Paenibacillus.dauci.bovis..r_03844.,NA,0,0,0.5,NA,Paenibacillus.dauci.bovis..r_03844.,NA
Paenibacillus.dendritiformis..r_07160.,NA,0,0,0.5,NA,Paenibacillus.dendritiformis..r_07160.,NA
Paenibacillus.durus..r_03758.,NA,0,0,0.5,NA,Paenibacillus.durus..r_03758.,NA
Paenibacillus.durus..r_03759.,NA,0,0,0.5,NA,Paenibacillus.durus..r_03759.,NA
Paenibacillus.ehimensis..r_00844.,NA,0,0,0.5,NA,Paenibacillus.ehimensis..r_00844.,NA
Paenibacillus.etheri.odorifer..r_03369.,NA,0,0,0.5,NA,Paenibacillus.etheri.odorifer..r_03369.,NA
Paenibacillus.ferrarius..r_08376.,NA,0,0,0.5,NA,Paenibacillus.ferrarius..r_08376.,NA
Paenibacillus.fonticola..r_06993.,NA,0,0,0.5,NA,Paenibacillus.fonticola..r_06993.,NA
Paenibacillus.ginsengihumi..r_06994.,NA,0,0,0.5,NA,Paenibacillus.ginsengihumi..r_06994.,NA
Paenibacillus.glacialis..r_04533.,NA,0,0,0.5,NA,Paenibacillus.glacialis..r_04533.,NA
Paenibacillus.glucanolyticus.vortex..r_02074.,NA,0,0,0.5,NA,Paenibacillus.glucanolyticus.vortex..r_02074.,NA
Paenibacillus.gorillae..r_07540.,NA,0,0,0.5,NA,Paenibacillus.gorillae..r_07540.,NA
Paenibacillus.graminis..r_01603.,NA,0,0,0.5,NA,Paenibacillus.graminis..r_01603.,NA
Paenibacillus.harenae..r_06995.,NA,0,0,0.5,NA,Paenibacillus.harenae..r_06995.,NA
Paenibacillus.ihbetae.lactis..r_05943.,NA,0,0,0.5,NA,Paenibacillus.ihbetae.lactis..r_05943.,NA
Paenibacillus.ihuae..r_07489.,NA,0,0,0.5,NA,Paenibacillus.ihuae..r_07489.,NA
Paenibacillus.ihumii..r_11784.,NA,0,0,0.5,NA,Paenibacillus.ihumii..r_11784.,NA
Paenibacillus.jamilae.polymyxa..r_00980.,NA,0,0,0.5,NA,Paenibacillus.jamilae.polymyxa..r_00980.,NA
Paenibacillus.kribbensis.peoriae..r_00978.,NA,0,0,0.5,NA,Paenibacillus.kribbensis.peoriae..r_00978.,NA
Paenibacillus.larvae..r_04529.,NA,0,0,0.5,NA,Paenibacillus.larvae..r_04529.,NA
Paenibacillus.lautus..r_02076.,NA,0,0,0.5,NA,Paenibacillus.lautus..r_02076.,NA
Paenibacillus.macerans..r_11208.,NA,0,0,0.5,NA,Paenibacillus.macerans..r_11208.,NA
Paenibacillus.massiliensis.panacisoli..r_02344.,NA,0,0,0.5,NA,Paenibacillus.massiliensis.panacisoli..r_02344.,NA
Paenibacillus.mucilaginosus..r_01105.,NA,0,0,0.5,NA,Paenibacillus.mucilaginosus..r_01105.,NA
Paenibacillus.naphthalenovorans..r_05073.,NA,0,0,0.5,NA,Paenibacillus.naphthalenovorans..r_05073.,NA
Paenibacillus.odorifer..r_03368.,NA,0,0,0.5,NA,Paenibacillus.odorifer..r_03368.,NA
Paenibacillus.oryzae..r_10135.,NA,0,0,0.5,NA,Paenibacillus.oryzae..r_10135.,NA
Paenibacillus.pabuli..r_03358.,NA,0,0,0.5,NA,Paenibacillus.pabuli..r_03358.,NA
Paenibacillus.pabuli..r_03359.,NA,0,0,0.5,NA,Paenibacillus.pabuli..r_03359.,NA
Paenibacillus.pasadenensis..r_06996.,NA,0,0,0.5,NA,Paenibacillus.pasadenensis..r_06996.,NA
Paenibacillus.pectinilyticus..r_04209.,NA,0,0,0.5,NA,Paenibacillus.pectinilyticus..r_04209.,NA
Paenibacillus.phocaensis..r_05272.,NA,0,0,0.5,NA,Paenibacillus.phocaensis..r_05272.,NA
Paenibacillus.pini..r_07526.,NA,0,0,0.5,NA,Paenibacillus.pini..r_07526.,NA
Paenibacillus.pinihumi..r_02345.,NA,0,0,0.5,NA,Paenibacillus.pinihumi..r_02345.,NA
Paenibacillus.polymyxa.peoriae..r_00979.,NA,0,0,0.5,NA,Paenibacillus.polymyxa.peoriae..r_00979.,NA
Paenibacillus.polysaccharolyticus..r_03361.,NA,0,0,0.5,NA,Paenibacillus.polysaccharolyticus..r_03361.,NA
Paenibacillus.rhizosphaerae..r_10862.,NA,0,0,0.5,NA,Paenibacillus.rhizosphaerae..r_10862.,NA
Paenibacillus.riograndensis.jilunlii..r_01602.,NA,0,0,0.5,NA,Paenibacillus.riograndensis.jilunlii..r_01602.,NA
Paenibacillus.rubinfantis..r_05271.,NA,0,0,0.5,NA,Paenibacillus.rubinfantis..r_05271.,NA
Paenibacillus.sabinae..r_03760.,NA,0,0,0.5,NA,Paenibacillus.sabinae..r_03760.,NA
Paenibacillus.sanguinis..r_02346.,NA,0,0,0.5,NA,Paenibacillus.sanguinis..r_02346.,NA
Paenibacillus.selenitireducens..r_07944.,NA,0,0,0.5,NA,Paenibacillus.selenitireducens..r_07944.,NA
Paenibacillus.senegalensis..r_06535.,NA,0,0,0.5,NA,Paenibacillus.senegalensis..r_06535.,NA
Paenibacillus.senegalimassiliensis..r_02347.,NA,0,0,0.5,NA,Paenibacillus.senegalimassiliensis..r_02347.,NA
Paenibacillus.solani..r_02073.,NA,0,0,0.5,NA,Paenibacillus.solani..r_02073.,NA
Paenibacillus.sophorae..r_03757.,NA,0,0,0.5,NA,Paenibacillus.sophorae..r_03757.,NA
Paenibacillus.sp..1ZS3.15..r_04207.,NA,0,0,0.5,NA,Paenibacillus.sp..1ZS3.15..r_04207.,NA
Paenibacillus.sp..1_12..r_04748.,NA,0,0,0.5,NA,Paenibacillus.sp..1_12..r_04748.,NA
Paenibacillus.sp..32352..r_10621.,NA,0,0,0.5,NA,Paenibacillus.sp..32352..r_10621.,NA
Paenibacillus.sp..32O.W..r_09087.,NA,0,0,0.5,NA,Paenibacillus.sp..32O.W..r_09087.,NA
Paenibacillus.sp..453mf..r_04590.,NA,0,0,0.5,NA,Paenibacillus.sp..453mf..r_04590.,NA
Paenibacillus.sp..BC26..r_05950.,NA,0,0,0.5,NA,Paenibacillus.sp..BC26..r_05950.,NA
Paenibacillus.sp..CF384..r_05951.,NA,0,0,0.5,NA,Paenibacillus.sp..CF384..r_05951.,NA
Paenibacillus.sp..DMB20..r_08852.,NA,0,0,0.5,NA,Paenibacillus.sp..DMB20..r_08852.,NA
Paenibacillus.sp..FF9..r_08517.,NA,0,0,0.5,NA,Paenibacillus.sp..FF9..r_08517.,NA
Paenibacillus.sp..FJAT.26967..r_09193.,NA,0,0,0.5,NA,Paenibacillus.sp..FJAT.26967..r_09193.,NA
Paenibacillus.sp..FSL.A5.0031..r_05216.,NA,0,0,0.5,NA,Paenibacillus.sp..FSL.A5.0031..r_05216.,NA
Paenibacillus.sp..FSL.H7.0331..r_04749.,NA,0,0,0.5,NA,Paenibacillus.sp..FSL.H7.0331..r_04749.,NA
Paenibacillus.sp..FSL.H8.0548..r_10491.,NA,0,0,0.5,NA,Paenibacillus.sp..FSL.H8.0548..r_10491.,NA
Paenibacillus.sp..FSL.R7.0273..r_02894.,NA,0,0,0.5,NA,Paenibacillus.sp..FSL.R7.0273..r_02894.,NA
Paenibacillus.sp..GM2..r_08791.,NA,0,0,0.5,NA,Paenibacillus.sp..GM2..r_08791.,NA
Paenibacillus.sp..GP183..r_10285.,NA,0,0,0.5,NA,Paenibacillus.sp..GP183..r_10285.,NA
Paenibacillus.sp..HW567..r_06540.,NA,0,0,0.5,NA,Paenibacillus.sp..HW567..r_06540.,NA
Paenibacillus.sp..IHBB.10380..r_08598.,NA,0,0,0.5,NA,Paenibacillus.sp..IHBB.10380..r_08598.,NA
Paenibacillus.sp..JCM.10914..r_07525.,NA,0,0,0.5,NA,Paenibacillus.sp..JCM.10914..r_07525.,NA
Paenibacillus.sp..JCM.18996..r_07879.,NA,0,0,0.5,NA,Paenibacillus.sp..JCM.18996..r_07879.,NA
Paenibacillus.sp..JDR.2..r_01331.,NA,0,0,0.5,NA,Paenibacillus.sp..JDR.2..r_01331.,NA
Paenibacillus.sp..NFR01..r_08597.,NA,0,0,0.5,NA,Paenibacillus.sp..NFR01..r_08597.,NA
Paenibacillus.sp..OSY.SE..r_07325.,NA,0,0,0.5,NA,Paenibacillus.sp..OSY.SE..r_07325.,NA
Paenibacillus.sp..OV219..r_10300.,NA,0,0,0.5,NA,Paenibacillus.sp..OV219..r_10300.,NA
Paenibacillus.sp..P1XP2..r_08385.,NA,0,0,0.5,NA,Paenibacillus.sp..P1XP2..r_08385.,NA
Paenibacillus.sp..Root52..r_03360.,NA,0,0,0.5,NA,Paenibacillus.sp..Root52..r_03360.,NA
Paenibacillus.sp..Soil522..r_05224.,NA,0,0,0.5,NA,Paenibacillus.sp..Soil522..r_05224.,NA
Paenibacillus.sp..Soil750..r_04205.,NA,0,0,0.5,NA,Paenibacillus.sp..Soil750..r_04205.,NA
Paenibacillus.sp..Soil766..r_04206.,NA,0,0,0.5,NA,Paenibacillus.sp..Soil766..r_04206.,NA
Paenibacillus.sp..TI45.13ar..r_10306.,NA,0,0,0.5,NA,Paenibacillus.sp..TI45.13ar..r_10306.,NA
Paenibacillus.sp..UNC451MF..r_08316.,NA,0,0,0.5,NA,Paenibacillus.sp..UNC451MF..r_08316.,NA
Paenibacillus.sp..UNC496MF..r_08450.,NA,0,0,0.5,NA,Paenibacillus.sp..UNC496MF..r_08450.,NA
Paenibacillus.sp..URHA0014..r_04208.,NA,0,0,0.5,NA,Paenibacillus.sp..URHA0014..r_04208.,NA
Paenibacillus.sp..VKM.B.2647..r_08648.,NA,0,0,0.5,NA,Paenibacillus.sp..VKM.B.2647..r_08648.,NA
Paenibacillus.sp...r_01601.,NA,0,0,0.5,NA,Paenibacillus.sp...r_01601.,NA
Paenibacillus.sp...r_02075.,NA,0,0,0.5,NA,Paenibacillus.sp...r_02075.,NA
Paenibacillus.sp...r_02340.,NA,0,0,0.5,NA,Paenibacillus.sp...r_02340.,NA
Paenibacillus.sp...r_03362.,NA,0,0,0.5,NA,Paenibacillus.sp...r_03362.,NA
Paenibacillus.sp...r_03931.,NA,0,0,0.5,NA,Paenibacillus.sp...r_03931.,NA
Paenibacillus.sp...r_04589.,NA,0,0,0.5,NA,Paenibacillus.sp...r_04589.,NA
Paenibacillus.sp...r_04626.,NA,0,0,0.5,NA,Paenibacillus.sp...r_04626.,NA
Paenibacillus.sp...r_06001.,NA,0,0,0.5,NA,Paenibacillus.sp...r_06001.,NA
Paenibacillus.sp..yr247..r_02343.,NA,0,0,0.5,NA,Paenibacillus.sp..yr247..r_02343.,NA
Paenibacillus.stellifer..r_09090.,NA,0,0,0.5,NA,Paenibacillus.stellifer..r_09090.,NA
Paenibacillus.swuensis..r_07268.,NA,0,0,0.5,NA,Paenibacillus.swuensis..r_07268.,NA
Paenibacillus.taiwanensis..r_06997.,NA,0,0,0.5,NA,Paenibacillus.taiwanensis..r_06997.,NA
Paenibacillus.terrae..r_00977.,NA,0,0,0.5,NA,Paenibacillus.terrae..r_00977.,NA
Paenibacillus.terrigena..r_06998.,NA,0,0,0.5,NA,Paenibacillus.terrigena..r_06998.,NA
Paenibacillus.tianmuensis..r_00843.,NA,0,0,0.5,NA,Paenibacillus.tianmuensis..r_00843.,NA
Paenibacillus.tuaregi..r_10042.,NA,0,0,0.5,NA,Paenibacillus.tuaregi..r_10042.,NA
Paenibacillus.typhae..r_02893.,NA,0,0,0.5,NA,Paenibacillus.typhae..r_02893.,NA
Paenibacillus.tyrfis.elgii..r_00842.,NA,0,0,0.5,NA,Paenibacillus.tyrfis.elgii..r_00842.,NA
Paenibacillus.uliginis..r_07915.,NA,0,0,0.5,NA,Paenibacillus.uliginis..r_07915.,NA
Paenibacillus.wulumuqiensis..r_03845.,NA,0,0,0.5,NA,Paenibacillus.wulumuqiensis..r_03845.,NA
Paenibacillus.wynnii..r_10785.,NA,0,0,0.5,NA,Paenibacillus.wynnii..r_10785.,NA
Paenibacillus.yonginensis..r_08363.,NA,0,0,0.5,NA,Paenibacillus.yonginensis..r_08363.,NA
Paeniglutamicibacter.antarcticus..r_11341.,NA,0,0,0.5,NA,Paeniglutamicibacter.antarcticus..r_11341.,NA
Paeniglutamicibacter.gangotriensis..r_07785.,NA,0,0,0.5,NA,Paeniglutamicibacter.gangotriensis..r_07785.,NA
Paenirhodobacter.enshiensis..r_06661.,NA,0,0,0.5,NA,Paenirhodobacter.enshiensis..r_06661.,NA
Paenisporosarcina.indica..r_11690.,NA,0,0,0.5,NA,Paenisporosarcina.indica..r_11690.,NA
Paenisporosarcina.sp..HGH0030..r_06606.,NA,0,0,0.5,NA,Paenisporosarcina.sp..HGH0030..r_06606.,NA
Paenisporosarcina.sp..TG.14..r_07476.,NA,0,0,0.5,NA,Paenisporosarcina.sp..TG.14..r_07476.,NA
Pajaroellobacter.abortibovis..r_10293.,NA,0,0,0.5,NA,Pajaroellobacter.abortibovis..r_10293.,NA
Palaeococcus.ferrophilus..r_06384.,NA,0,0,0.5,NA,Palaeococcus.ferrophilus..r_06384.,NA
Palaeococcus.pacificus..r_07997.,NA,0,0,0.5,NA,Palaeococcus.pacificus..r_07997.,NA
Palleronia.marisminoris..r_10898.,NA,0,0,0.5,NA,Palleronia.marisminoris..r_10898.,NA
Paludibacter.jiangxiensis..r_11770.,NA,0,0,0.5,NA,Paludibacter.jiangxiensis..r_11770.,NA
Paludibacter.propionicigenes..r_11802.,NA,0,0,0.5,NA,Paludibacter.propionicigenes..r_11802.,NA
Paludibacter.sp..47.17..r_10393.,NA,0,0,0.5,NA,Paludibacter.sp..47.17..r_10393.,NA
Paludibacterium.yongneupense..r_06999.,NA,0,0,0.5,NA,Paludibacterium.yongneupense..r_06999.,NA
Paludisphaera.borealis..r_08113.,NA,0,0,0.5,NA,Paludisphaera.borealis..r_08113.,NA
Pandoraea.apista..r_03078.,NA,0,0,0.5,NA,Pandoraea.apista..r_03078.,NA
Pandoraea.faecigallinarum..r_03072.,NA,0,0,0.5,NA,Pandoraea.faecigallinarum..r_03072.,NA
Pandoraea.norimbergensis..r_03080.,NA,0,0,0.5,NA,Pandoraea.norimbergensis..r_03080.,NA
Pandoraea.oxalativorans.sputorum..r_03070.,NA,0,0,0.5,NA,Pandoraea.oxalativorans.sputorum..r_03070.,NA
Pandoraea.pnomenusa..r_03074.,NA,0,0,0.5,NA,Pandoraea.pnomenusa..r_03074.,NA
Pandoraea.pnomenusa..r_03077.,NA,0,0,0.5,NA,Pandoraea.pnomenusa..r_03077.,NA
Pandoraea.pulmonicola..r_03075.,NA,0,0,0.5,NA,Pandoraea.pulmonicola..r_03075.,NA
Pandoraea.sp..ISTKB..r_03073.,NA,0,0,0.5,NA,Pandoraea.sp..ISTKB..r_03073.,NA
Pandoraea.sp..SD6.2..r_03079.,NA,0,0,0.5,NA,Pandoraea.sp..SD6.2..r_03079.,NA
Pandoraea.sp...r_03076.,NA,0,0,0.5,NA,Pandoraea.sp...r_03076.,NA
Pandoraea.thiooxydans..r_00536.,NA,0,0,0.5,NA,Pandoraea.thiooxydans..r_00536.,NA
Pandoraea.vervacti..r_03071.,NA,0,0,0.5,NA,Pandoraea.vervacti..r_03071.,NA
Pannonibacter.phragmitetus.indicus..r_02348.,NA,0,0,0.5,NA,Pannonibacter.phragmitetus.indicus..r_02348.,NA
Pantoea.alhagi..r_04564.,NA,0,0,0.5,NA,Pantoea.alhagi..r_04564.,NA
Pantoea.allii..r_01844.,NA,0,0,0.5,NA,Pantoea.allii..r_01844.,NA
Pantoea.ananatis..r_01845.,NA,0,0,0.5,NA,Pantoea.ananatis..r_01845.,NA
Pantoea.ananatis.stewartii..r_01843.,NA,0,0,0.5,NA,Pantoea.ananatis.stewartii..r_01843.,NA
Pantoea.anthophila..r_01847.,NA,0,0,0.5,NA,Pantoea.anthophila..r_01847.,NA
Pantoea.brenneri.conspicua..r_01846.,NA,0,0,0.5,NA,Pantoea.brenneri.conspicua..r_01846.,NA
Pantoea.cypripedii..r_01650.,NA,0,0,0.5,NA,Pantoea.cypripedii..r_01650.,NA
Pantoea.dispersa..r_01652.,NA,0,0,0.5,NA,Pantoea.dispersa..r_01652.,NA
Pantoea.eucrina..r_01651.,NA,0,0,0.5,NA,Pantoea.eucrina..r_01651.,NA
Pantoea.latae.septica..r_01642.,NA,0,0,0.5,NA,Pantoea.latae.septica..r_01642.,NA
Pantoea.rodasii..r_01648.,NA,0,0,0.5,NA,Pantoea.rodasii..r_01648.,NA
Pantoea.rodasii.vagans..r_01645.,NA,0,0,0.5,NA,Pantoea.rodasii.vagans..r_01645.,NA
Pantoea.rwandensis..r_01647.,NA,0,0,0.5,NA,Pantoea.rwandensis..r_01647.,NA
Pantoea.sp..1.19..r_10502.,NA,0,0,0.5,NA,Pantoea.sp..1.19..r_10502.,NA
Pantoea.sp..A4..r_07441.,NA,0,0,0.5,NA,Pantoea.sp..A4..r_07441.,NA
